

This file contains example of DCW-calculation

SMILES:  Nc1nc(N2CCc3c2cc(Br)cc3)c(Cl)cn1
Set (#):   training +; invisible training -; calibration #
Number of structure 1
CAS  NIK001
Number of Monte Carlo optimization probe 5
Threshold 4
Hydrogen Filled Graph (HFG) is used in the model
SMILES is used in the model

ID is the number of SMILES attribute (SA) in global list of SA
CW(SA) is the correlation weight for SA
NT is the number of SA in training set
NiT is the number of SA in invisible training set
NC is the number of SA in calibration set

 Structural :            :     :     :     :    
  attribute :   CW(SA)   : ID  : NT  : NiT : NC 
EC0-H...1...:     -0.1354:  134:   36:   35:   36
EC0-H...1...:     -0.1354:  134:   36:   35:   36
EC0-H...1...:     -0.1354:  134:   36:   35:   36
EC0-H...1...:     -0.1354:  134:   36:   35:   36
EC0-H...1...:     -0.1354:  134:   36:   35:   36
EC0-H...1...:     -0.1354:  134:   36:   35:   36
N...........:     -0.4829:  160:   33:   33:   34
c...........:      0.0456:  228:   36:   35:   36
1...........:      0.8477:   39:   36:   35:   36
n...........:     -0.3704:  302:   36:   35:   36
c...........:      0.0456:  228:   36:   35:   36
(...........:      0.0029:   23:   36:   35:   36
N...........:     -0.4829:  160:   33:   33:   34
2...........:      0.1919:   49:   36:   35:   36
C...........:     -0.1057:   88:   36:   35:   36
C...........:     -0.1057:   88:   36:   35:   36
c...........:      0.0456:  228:   36:   35:   36
3...........:     -0.2399:   58:   36:   34:   36
c...........:      0.0456:  228:   36:   35:   36
2...........:      0.1919:   49:   36:   35:   36
c...........:      0.0456:  228:   36:   35:   36
c...........:      0.0456:  228:   36:   35:   36
(...........:      0.0029:   23:   36:   35:   36
Br..........:      0.3874:  145:    1:    2:    3
(...........:      0.0029:   23:   36:   35:   36
c...........:      0.0456:  228:   36:   35:   36
c...........:      0.0456:  228:   36:   35:   36
3...........:     -0.2399:   58:   36:   34:   36
(...........:      0.0029:   23:   36:   35:   36
c...........:      0.0456:  228:   36:   35:   36
(...........:      0.0029:   23:   36:   35:   36
Cl..........:      1.1411:  147:    9:    8:   12
(...........:      0.0029:   23:   36:   35:   36
c...........:      0.0456:  228:   36:   35:   36
n...........:     -0.3704:  302:   36:   35:   36
1...........:      0.8477:   39:   36:   35:   36
c...N.......:      0.3082:  259:   17:   17:   20
c...1.......:      0.1580:  232:   31:   34:   32
n...1.......:      0.5617:  303:   26:   30:   26
n...c.......:      0.4590:  312:   36:   35:   36
c...(.......:      0.2969:  215:   36:   35:   36
N...(.......:      0.1696:  158:   33:   33:   34
N...2.......:      0.6574:  163:   15:   10:   14
C...2.......:      0.6592:   95:   16:   14:   16
C...C.......:     -0.2044:  105:   35:   35:   36
c...C.......:     -1.1920:  253:   36:   33:   35
c...3.......:      0.0535:  244:   36:   34:   36
c...3.......:      0.0535:  244:   36:   34:   36
c...2.......:      0.1793:  239:   36:   35:   36
c...2.......:      0.1793:  239:   36:   35:   36
c...c.......:     -0.5322:  265:   36:   35:   36
c...(.......:      0.2969:  215:   36:   35:   36
Br..(.......:      0.0687:  144:    1:    2:    3
Br..(.......:      0.0687:  144:    1:    2:    3
c...(.......:      0.2969:  215:   36:   35:   36
c...c.......:     -0.5322:  265:   36:   35:   36
c...3.......:      0.0535:  244:   36:   34:   36
3...(.......:      0.6919:   57:   25:   31:   30
c...(.......:      0.2969:  215:   36:   35:   36
c...(.......:      0.2969:  215:   36:   35:   36
Cl..(.......:      0.3489:  146:    9:    5:    9
Cl..(.......:      0.3489:  146:    9:    5:    9
c...(.......:      0.2969:  215:   36:   35:   36
n...c.......:      0.4590:  312:   36:   35:   36
n...1.......:      0.5617:  303:   26:   30:   26
N...c...1...:     -0.0476:  174:   10:    6:    9
n...1...c...:      0.8815:  304:   26:   30:   26
c...n...1...:      0.1052:  272:   26:   29:   26
n...c...(...:      0.9453:  311:   24:   26:   25
c...(...N...:      0.2459:  224:   33:   32:   34
2...N...(...:      0.8324:   52:   15:   10:   13
N...2...C...:      0.1663:  164:   15:   10:   13
C...C...2...:      0.8951:  107:   16:   13:   16
c...C...C...:      0.2599:  254:   10:    9:   13
C...c...3...:      0.5591:  118:   10:    9:   12
c...3...c...:     -1.7005:  247:   34:   33:   34
3...c...2...:      0.4139:   65:   19:   15:   18
c...2...c...:      0.2335:  242:   28:   22:   27
c...c...2...:      1.6405:  267:   27:   30:   28
c...c...(...:     -0.3214:  264:   36:   35:   36
c...(...Br..:      0.1322:  222:    1:    2:    3
(...Br..(...:      0.1652:   27:    1:    2:    3
c...(...Br..:      0.1322:  222:    1:    2:    3
c...c...(...:     -0.3214:  264:   36:   35:   36
c...c...3...:      0.1933:  268:   33:   29:   32
c...3...(...:      1.8611:  243:   14:   11:   15
c...(...3...:      1.0711:  218:   19:   24:   24
(...c...(...:     -0.7004:   33:   17:   14:   21
c...(...Cl..:      0.5422:  223:    9:    5:    9
(...Cl..(...:      1.1685:   28:    9:    5:    9
c...(...Cl..:      0.5422:  223:    9:    5:    9
n...c...(...:      0.9453:  311:   24:   26:   25
c...n...1...:      0.1052:  272:   26:   29:   26
NOSP10000000:      1.5083:  199:    6:    4:    5
HALO01100000:      0.0691:  152:    0:    0:    1
BOND00000000:      1.0148:  120:    4:    2:    6
$00010000110:      0.2300:    4:    0:    0:    1
[xyx2]......:      0.1285:  281:    3:    5:    4
[xyyx0].....:     -0.0958:  289:   34:   35:   33
[xyzyx0]....:      1.8425:  291:   36:   33:   34

DCW=     20.1529

The Adjacency Matrix of the molecular Graph

        :   1:   2:   3:   4:   5:   6:   7:   8:   9:  10:  11:  12:  13:  14:  15:  16:  17:  18:  19:  20:  21:  22:  23:  24:  25:  26:  27:  28:  29:  30:  31:
        :   N:   C:   N:   C:   N:   C:   C:   C:   C:   C:   C:  Br:   C:   C:   C:  Cl:   C:   N:   H:   H:   H:   H:   H:   H:   H:   H:   H:   H:   H:   H:   H: EC0: EC1: EC2: EC3: PT2: PT3: PT4: S2 : S3 : NNC
   N   1:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   3:   5:  13:  27:   2:   2:   2:   4:   6: 312
   C   2:   1:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   3:   7:  17:  41:   4:   4:   8:   8:  10: 303
   N   3:   0:   1:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   2:   6:  15:  43:   4:   7:  13:  11:  19: 220
   C   4:   0:   0:   1:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   3:   8:  26:  61:   5:  12:  30:  17:  23: 312
   N   5:   0:   0:   0:   1:   0:   1:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   3:  10:  26:  80:   7:  10:  22:  17:  26: 330
   C   6:   0:   0:   0:   0:   1:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   4:   9:  27:  71:   5:   6:  12:  11:  17: 413
   C   7:   0:   0:   0:   0:   0:   1:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   1:   0:   0:   0:   0:   0:   0:   0:   4:   9:  27:  70:   5:   6:  12:  11:  16: 422
   C   8:   0:   0:   0:   0:   0:   0:   1:   0:   1:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   3:  10:  25:  74:   7:   9:  21:  16:  20: 330
   C   9:   0:   0:   0:   0:   1:   0:   0:   1:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   3:   9:  27:  70:   6:  12:  30:  18:  25: 321
   C  10:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   3:   7:  19:  51:   4:   6:  12:  10:  18: 321
   C  11:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   1:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   3:   7:  17:  43:   4:   4:   8:   8:  10: 321
  Br  12:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   3:   7:  17:   2:   4:   8:   6:   8: 110
   C  13:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   3:   7:  17:  44:   4:   4:   8:   8:  11: 321
   C  14:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   3:   7:  20:  49:   4:   7:  17:  11:  16: 321
   C  15:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   3:  10:  20:  67:   7:   4:   6:  11:  13: 321
  Cl  16:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   1:   1:   0:   4:   6:  22:  38:   2:   4:   8:   6:   8: 413
   C  17:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   3:   6:  19:  39:   3:   7:  17:  10:  13: 312
   N  18:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   2:   6:  13:  36:   4:   5:   9:   9:  12: 220
   H  19:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   3:   5:  13:   2:   2:   4:   4:   4: 101
   H  20:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   3:   5:  13:   2:   2:   4:   4:   4: 101
   H  21:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   4:   9:  27:   3:   5:  13:   8:  11: 110
   H  22:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   4:   9:  27:   3:   5:  13:   8:  11: 110
   H  23:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   4:   9:  27:   3:   5:  13:   8:  11: 110
   H  24:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   4:   9:  27:   3:   5:  13:   8:  11: 110
   H  25:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   3:   7:  19:   2:   4:   8:   6:  10: 110
   H  26:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   3:   7:  17:   2:   4:   8:   6:   8: 110
   H  27:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   3:   7:  20:   2:   4:   8:   6:  11: 110
   H  28:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   4:   6:  22:   3:   2:   4:   5:   6: 101
   H  29:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   4:   6:  22:   3:   2:   4:   5:   6: 101
   H  30:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   4:   6:  22:   3:   2:   4:   5:   6: 101
   H  31:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   3:   6:  19:   2:   3:   5:   5:  10: 110
